product_name,drug_name,company_name,company_type,outcome,start_date,last_updated,din,dose,pharmaceutical_form,route_of_administration,medical_necessity,marketed_by_other_manufacturers,est_resupply_date,discontinued,discontinuation_date
CELESTONE SOLUSPAN ,CELESTONE SOLUSPAN 6MG/ML,Merck Canada Inc.,Innovator,Resolved,2013-05-15T00:00:00Z,2013-06-11T00:00:00Z,00028096,6 mg/mL,Vial,Injectable,Yes,,2013-06-07T00:00:00Z,No,
CELESTONE SOLUSPAN ,CELESTONE SOLUSPAN 6MG/ML,Merck Canada Inc.,Innovator,Resolved,2013-08-15T00:00:00Z,2013-09-30T00:00:00Z,00028096,6 mg/mL,Vial,Injectable,Yes,,2013-09-30T00:00:00Z,No,
CELESTONE SOLUSPAN,BETAMETHASONE ACETATE,Merck Canada Inc.,Innovator,Resolved,2015-12-08T00:00:00Z,2016-04-13T00:00:00Z,00028096,3 mg,Suspension,Injectable,Yes,,2015-04-13T00:00:00Z,No,
CELESTONE SOLUSPAN,BETAMETHASONE ACETATE,Merck Canada Inc.,Innovator,Resolved,2016-01-14T00:00:00Z,2016-04-13T00:00:00Z,00028096,3 mg,Suspension,Injectable,Yes,,2016-04-13T00:00:00Z,No,
ALDACTONE 25 MG,SPIRONOLACTONE,Pfizer Canada Inc.,Innovator,Resolved,2015-12-01T00:00:00Z,2016-01-25T00:00:00Z,00028606,25 mg,Tablet,Oral,No,,2016-01-25T00:00:00Z,No,
DELATESTRYL,TESTOSTERONE ENANTHATE,Valeant Canada ,Generic,Resolved,2014-02-28T00:00:00Z,2014-07-22T00:00:00Z,00029246,200 mg,Solution,Injectable,Yes,,2014-05-15T00:00:00Z,No,
DELATESTRYL,TESTOSTERONE ENANTHATE,Valeant Canada ,Generic,Resolved,2014-08-08T00:00:00Z,2014-12-03T00:00:00Z,00029246,200 mg,Solution,Injectable,Yes,,2014-10-03T00:00:00Z,No,
SOLU-CORTEF 250 MG ACT-O-VIAL,HYDROCORTISONE (HYDROCORTISONE SODIUM SUCCINATE),Pfizer Canada Inc.,Innovator,Resolved,2014-06-19T00:00:00Z,2014-07-21T00:00:00Z,00030619,250 mg,Powder for Solution,Injectable,Yes,,2014-07-21T00:00:00Z,No,
LINCOCIN,LINCOMYCIN (LINCOMYCIN HYDROCHLORIDE),Pfizer Canada Inc.,Innovator,Current,2015-11-26T00:00:00Z,2015-11-26T00:00:00Z,00030732,300 mg,Solution,Injectable,Yes,,,Yes,2016-05-30T00:00:00Z
DEPO-MEDROL 40 MG/ML,METHYLPREDNISOLONE ACETATE,Pfizer Canada Inc.,Innovator,Resolved,2014-07-01T00:00:00Z,2014-08-28T00:00:00Z,00030759,40 mg,Suspension,Injectable,Yes,,2014-08-28T00:00:00Z,No,
DEPO-MEDROL 40 MG/ML,METHYLPREDNISOLONE ACETATE,Pfizer Canada Inc.,Innovator,Resolved,2016-02-24T00:00:00Z,2016-03-07T00:00:00Z,00030759,40 mg,Suspension,Injectable,Yes,,2016-03-07T00:00:00Z,No,
DEPO-MEDROL,DEPO-MEDROL,Pfizer Canada Inc.,Innovator,Resolved,2013-06-19T00:00:00Z,2013-07-17T00:00:00Z,00030767,80 mg/mL,Suspension,Injectable,Yes,,2013-07-16T00:00:00Z,No,
DEPO-MEDROL 80 MG/ML,METHYLPREDNISOLONE ACETATE,Pfizer Canada Inc.,Innovator,Resolved,2014-07-10T00:00:00Z,2014-08-07T00:00:00Z,00030767,80 mg,Suspension,Injectable,Yes,,2014-08-07T00:00:00Z,No,
CORTEF,CORTEF,Pfizer Canada Inc.,Innovator,Resolved,2013-10-16T00:00:00Z,2013-11-05T00:00:00Z,00030910,10 mg,Tablet,Oral,,,2013-11-11T00:00:00Z,No,
PROVERA 5MG TABLETS,MEDROXYPROGESTERONE ACETATE,Pfizer Canada Inc.,Innovator,Resolved,2014-10-23T00:00:00Z,2015-01-16T00:00:00Z,00030937,5 mg,Tablet,Oral,No,,2015-01-16T00:00:00Z,No,
LOMOTIL,LOMOTIL,Pfizer Canada Inc.,Innovator,Resolved,2013-07-04T00:00:00Z,2013-08-09T00:00:00Z,00036323,2.5 mg/0.025 mg,Tablet,Oral,No,,2013-08-09T00:00:00Z,No,
LOMOTIL,LOMOTIL,Pfizer Canada Inc.,Innovator,Resolved,2013-09-12T00:00:00Z,2013-10-17T00:00:00Z,00036323,2.5 mg/0.025 mg,Tablet,Oral,No,,2013-10-17T00:00:00Z,No,
LOMOTIL,DIPHENOXYLATE HYDROCHLORIDE,Pfizer Canada Inc.,Innovator,Resolved,2015-05-29T00:00:00Z,2015-07-08T00:00:00Z,00036323,2.5 mg,Tablet,Oral,,,2015-07-08T00:00:00Z,No,
LOMOTIL,DIPHENOXYLATE HYDROCHLORIDE,Pfizer Canada Inc.,Innovator,Resolved,2015-09-10T00:00:00Z,2015-11-10T00:00:00Z,00036323,2.5 mg,Tablet,Oral,,,2015-11-10T00:00:00Z,No,
NITROSTAT SLT 0.3MG,NITROGLYCERIN,Pfizer Canada Inc.,Innovator,Resolved,2014-09-29T00:00:00Z,2014-11-04T00:00:00Z,00037613,0.3 mg,Tablet,Oral,,,2014-11-04T00:00:00Z,No,
BACTERIOSTATIC SODIUM CHLORIDE INJECTION,SODIUM CHLORIDE,Hospira Healthcare Corporation,Generic,Resolved,2014-07-09T00:00:00Z,2014-10-01T00:00:00Z,00037818,9 mg,Solution,Injectable,Yes,,2014-09-30T00:00:00Z,No,
SODIUM CHLORIDE IRRIGATION 9MG/ML,SODIUM CHLORIDE,Hospira Healthcare Corporation,Generic,Resolved,2015-12-24T00:00:00Z,2016-02-18T00:00:00Z,00037826,9 mg,Solution,Injectable,Yes,,2015-12-24T00:00:00Z,No,
SODIUM CHLORIDE INJECTION 0.9%,SODIUM CHLORIDE,Hospira Healthcare Corporation,Generic,Resolved,2014-03-19T00:00:00Z,2014-04-28T00:00:00Z,00037842,9 mg,Solution,Injectable,Yes,,2014-03-19T00:00:00Z,No,
SODIUM CHLORIDE INJECTION 0.9%,SODIUM CHLORIDE,Hospira Healthcare Corporation,Generic,Resolved,2014-10-16T00:00:00Z,2015-01-13T00:00:00Z,00037842,9 mg,Solution,Injectable,Yes,,2014-10-16T00:00:00Z,No,
SODIUM CHLORIDE INJECTION 0.9%,SODIUM CHLORIDE,Hospira Healthcare Corporation,Generic,Resolved,2014-10-24T00:00:00Z,2014-12-16T00:00:00Z,00037842,9 mg,Solution,Injectable,Yes,,2014-10-24T00:00:00Z,No,
SODIUM CHLORIDE INJECTION 0.9%,SODIUM CHLORIDE,Hospira Healthcare Corporation,Generic,Resolved,2015-02-06T00:00:00Z,2015-02-16T00:00:00Z,00037842,9 mg,Solution,Injectable,Yes,,,No,
SODIUM CHLORIDE INJECTION 0.9%,SODIUM CHLORIDE,Hospira Healthcare Corporation,Generic,Resolved,2015-02-06T00:00:00Z,2015-02-16T00:00:00Z,00037842,9 mg,Solution,Injectable,Yes,,,No,
SODIUM CHLORIDE INJECTION 0.9%,SODIUM CHLORIDE,Hospira Healthcare Corporation,Generic,Resolved,2015-08-06T00:00:00Z,2015-09-04T00:00:00Z,00037842,9 mg,Solution,Injectable,Yes,,,No,
SODIUM CHLORIDE INJECTION 0.9%,SODIUM CHLORIDE,Hospira Healthcare Corporation,Generic,Resolved,2015-08-21T00:00:00Z,2015-09-03T00:00:00Z,00037842,9 mg,Solution,Injectable,Yes,,,No,
POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE,POTASSIUM CHLORIDE,Hospira Healthcare Corporation,Generic,Resolved,2015-05-15T00:00:00Z,2015-07-13T00:00:00Z,00037869,149 mg,Solution,Injectable,Yes,,2015-05-15T00:00:00Z,No,
POTASSIUM CHLORIDE FOR INJECTION CONCENTRATE,POTASSIUM CHLORIDE,Hospira Healthcare Corporation,Generic,Current,2016-03-16T00:00:00Z,2016-03-16T00:00:00Z,00037869,149 mg,Solution,Injectable,Yes,,2016-03-16T00:00:00Z,No,
10% Dextrose - General IV Solution - 07930225,10% Dextrose - General IV Solution - 07930225,Hospira Healthcare Corporation,Generic,Resolved,2013-05-06T00:00:00Z,2013-07-25T00:00:00Z,00037958,10 g/100 mL,Solution,Injectable,No,2.0,2013-07-26T00:00:00Z,No,
Dextrose 20% USP - 07935150 Dextrose à 20 % USP,Dextrose 20% USP - 07935150 Dextrose à 20 % USP,Hospira Healthcare Corporation,Generic,Resolved,2013-09-27T00:00:00Z,2013-11-14T00:00:00Z,00037966,20 g/100 mL,USP,Injectable,Yes,,2013-11-30T00:00:00Z,No,
DEXTROSE 20% INJECTION USP,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2014-06-20T00:00:00Z,2014-10-01T00:00:00Z,00037966,200 mg,Solution,Injectable,No,2.0,,No,
DEXTROSE 20% INJECTION USP,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2015-01-13T00:00:00Z,2015-05-15T00:00:00Z,00037966,200 mg,Solution,Injectable,No,2.0,2015-01-13T00:00:00Z,No,
DEXTROSE 20% INJECTION USP,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2015-02-06T00:00:00Z,2015-02-27T00:00:00Z,00037966,200 mg,Solution,Injectable,No,2.0,2015-02-06T00:00:00Z,No,
DEXTROSE 20% INJECTION USP,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2015-07-30T00:00:00Z,2015-09-16T00:00:00Z,00037966,200 mg,Solution,Injectable,No,2.0,,No,
DEXTROSE 20% INJECTION USP,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2015-07-30T00:00:00Z,2015-11-06T00:00:00Z,00037966,200 mg,Solution,Injectable,No,2.0,2015-08-04T00:00:00Z,No,
DEXTROSE 50% INJECTION USP,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2014-06-09T00:00:00Z,2014-10-10T00:00:00Z,00037974,500 mg,Solution,Injectable,No,1.0,,No,
DEXTROSE 50% INJECTION USP,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2014-07-10T00:00:00Z,2014-08-05T00:00:00Z,00037974,500 mg,Solution,Injectable,No,1.0,2014-08-05T00:00:00Z,No,
DEXTROSE 50% INJECTION USP,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2015-01-13T00:00:00Z,2015-03-20T00:00:00Z,00037974,500 mg,Solution,Injectable,No,1.0,2015-01-13T00:00:00Z,No,
DEXTROSE 50% INJECTION USP,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2015-01-16T00:00:00Z,2015-04-24T00:00:00Z,00037974,500 mg,Solution,Injectable,No,1.0,2015-01-16T00:00:00Z,No,
DEXTROSE 50% INJECTION USP,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2015-02-27T00:00:00Z,2015-03-24T00:00:00Z,00037974,500 mg,Solution,Injectable,No,1.0,2015-02-27T00:00:00Z,No,
DEXTROSE 50% INJECTION USP,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2015-07-30T00:00:00Z,2015-09-18T00:00:00Z,00037974,500 mg,Solution,Injectable,No,1.0,,No,
DEXTROSE 50% INJECTION USP,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2015-07-30T00:00:00Z,2015-11-06T00:00:00Z,00037974,500 mg,Solution,Injectable,No,1.0,,No,
DEXTROSE 50% INJECTION USP,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2015-07-30T00:00:00Z,2015-11-20T00:00:00Z,00037974,500 mg,Solution,Injectable,No,1.0,,No,
DEXTROSE 50% INJECTION USP,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2016-01-20T00:00:00Z,2016-02-17T00:00:00Z,00037974,500 mg,Solution,Injectable,No,1.0,,No,
SODIUM BICARBONATE INJ 7.5%,SODIUM BICARBONATE,Hospira Healthcare Corporation,Generic,Resolved,2016-01-20T00:00:00Z,2016-02-18T00:00:00Z,00038083,75 mg,Solution,Injectable,Yes,,2016-01-20T00:00:00Z,No,
EPHEDRINE SULFATE INJECTION,EPHEDRINE SULFATE,Hospira Healthcare Corporation,Generic,Current,2015-07-24T00:00:00Z,2015-07-28T00:00:00Z,00038121,50 mg,Solution,Injectable,Yes,,2015-07-24T00:00:00Z,No,
QUELICIN CHLORIDE INJ 20MG/ML,SUCCINYLCHOLINE CHLORIDE,Hospira Healthcare Corporation,Generic,Current,2016-03-22T00:00:00Z,2016-03-22T00:00:00Z,00038172,20 mg,Solution,Injectable,Yes,,,No,
STERILE WATER FOR IRRIGATION,WATER,Hospira Healthcare Corporation,Generic,Resolved,2016-03-02T00:00:00Z,2016-03-21T00:00:00Z,00038229,1.0,Liquid topical,Other,No,,2016-03-02T00:00:00Z,No,
Sterile Water for Injection / Eau stérile pour préparations injectables - 07118258,Sterile Water for Injection / Eau stérile pour préparations injectables - 07118258,Hospira Healthcare Corporation,Generic,Resolved,2013-05-06T00:00:00Z,2013-08-15T00:00:00Z,00038245,1.0,Injection,Injectable,Yes,,2013-06-14T00:00:00Z,No,
WATER FOR INJECTION STERILE USP,WATER,Hospira Healthcare Corporation,Generic,Resolved,2013-10-10T00:00:00Z,2014-03-04T00:00:00Z,00038245,1.0,Liquid,Injectable,Yes,,2014-02-28T00:00:00Z,No,
WATER FOR INJECTION STERILE USP,WATER,Hospira Healthcare Corporation,Generic,Resolved,2014-03-04T00:00:00Z,2014-04-28T00:00:00Z,00038245,1.0,Liquid,Injectable,Yes,,2014-04-30T00:00:00Z,No,
DEXTROSE 5% IN 0.225% SODIUM CHLORIDE,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2013-04-25T00:00:00Z,2014-03-24T00:00:00Z,00038873,50 mg,Solution,Injectable,No,2.0,,Yes,
DEXTROSE 3.3% IN 0.3% SODIUM CHLORIDE,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2015-03-20T00:00:00Z,2015-05-08T00:00:00Z,00038881,33.3 mg,Solution,Injectable,No,2.0,2015-03-20T00:00:00Z,Yes,
DEXTROSE 5% IN 0.45% SODIUM CHLORIDE,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2014-03-17T00:00:00Z,2014-04-28T00:00:00Z,00038903,50 mg,Solution,Injectable,No,2.0,2014-03-24T00:00:00Z,No,
UROLOGIC G FOR IRRIGATION,CITRIC ACID,Hospira Healthcare Corporation,Generic,Resolved,2014-07-17T00:00:00Z,2014-09-12T00:00:00Z,00039373,32.4 mg,Solution,Injectable,Yes,,,No,
LACTATED RINGER'S INJECTION,SODIUM LACTATE,Hospira Healthcare Corporation,Generic,Resolved,2016-03-07T00:00:00Z,2016-04-04T00:00:00Z,00039470,3.1 mg,Solution,Injectable,Yes,,2016-03-07T00:00:00Z,No,
Normosol-M & 5% Dextrose Inj/ Normosol-M et dextrose à 5 % inj - 07965254,Normosol-M & 5% Dextrose Inj/ Normosol-M et dextrose à 5 % inj - 07965254,Hospira Healthcare Corporation,Generic,Resolved,2013-10-03T00:00:00Z,2014-02-20T00:00:00Z,00039489,0.05,Injection,Injectable,Yes,,2014-02-21T00:00:00Z,No,
NORMOSOL M WITH DEXTROSE 5%,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2014-06-20T00:00:00Z,2014-09-15T00:00:00Z,00039489,50 mg,Solution,Injectable,No,2.0,,Yes,
Normosol-R Injection pH approx. 7.4,"Normosol-R pH approx. 7.4 (Multiple Electrolytes Injection Type 1 USP) / Normosol-R pH approx. 7,4 (électrolytes multiples injectables de type 1 USP) 07670254",Hospira Healthcare Corporation,Generic,Resolved,2013-09-12T00:00:00Z,2014-03-04T00:00:00Z,00039500,pH 7.4,Injection,Injectable,Yes,,2014-01-01T00:00:00Z,No,
NORMOSOL R,SODIUM CHLORIDE,Hospira Healthcare Corporation,Generic,Resolved,2014-03-24T00:00:00Z,2014-04-28T00:00:00Z,00039500,5.26 mg,Solution,Injectable,Yes,,2014-03-24T00:00:00Z,No,
"Normosol-R pH approx. 7.4 / Normosol-R pH approx. 7,4",Multiple Electrolytes Injection Type 1 USP / électrolytes multiples injectables de type 1 USP,Hospira Healthcare Corporation,Generic,Resolved,2014-08-12T00:00:00Z,2014-11-05T00:00:00Z,00039500,pH 7.4,1000 mL Flexible Plastic,Injectable,Yes,,,No,
DEXTROSE 5% IN LACTATED RINGERS,DEXTROSE,Hospira Healthcare Corporation,Generic,Resolved,2013-11-28T00:00:00Z,2014-03-04T00:00:00Z,00039551,50 mg,Solution,Injectable,No,2.0,,Yes,2014-03-01T00:00:00Z
Coactifed Syrup,Coactifed Syrup,GlaxoSmithKline Inc.,Innovator,Resolved,2013-10-09T00:00:00Z,2013-12-04T00:00:00Z,00068594,10 mg/5 mL,Syrup,Oral,No,,2013-12-06T00:00:00Z,No,
COACTIFED,CODEINE PHOSPHATE,GlaxoSmithKline Inc.,Innovator,Resolved,2014-09-24T00:00:00Z,2014-11-07T00:00:00Z,00068594,10 mg,Syrup,Oral,No,,2014-11-03T00:00:00Z,No,
COACTIFED,CODEINE PHOSPHATE,GlaxoSmithKline Inc.,Innovator,Current,2014-12-18T00:00:00Z,2014-12-24T00:00:00Z,00068594,10 mg,Syrup,Oral,No,,2014-12-24T00:00:00Z,Yes,
COACTIFED,CODEINE PHOSPHATE,GlaxoSmithKline Inc.,Innovator,Resolved,2015-01-09T00:00:00Z,2015-04-10T00:00:00Z,00068594,10 mg,Syrup,Oral,No,,2015-04-06T00:00:00Z,No,
COACTIFED,CODEINE PHOSPHATE,GlaxoSmithKline Inc.,Innovator,Current,2015-03-03T00:00:00Z,2015-03-06T00:00:00Z,00068608,20 mg,Tablet,Oral,No,,,Yes,2015-03-01T00:00:00Z
COACTIFED,GUAIFENESIN,GlaxoSmithKline Inc.,Innovator,Current,2013-11-15T00:00:00Z,2014-12-09T00:00:00Z,00068756,100 mg,Syrup,Oral,No,,,Yes,
COACTIFED,GUAIFENESIN,GlaxoSmithKline Inc.,Innovator,Current,2014-11-24T00:00:00Z,2014-12-09T00:00:00Z,00068756,100 mg,Syrup,Oral,No,,,Yes,
Slow-K,Slow-K,Novartis Canada Inc.,Innovator,Resolved,2013-09-04T00:00:00Z,2014-01-29T00:00:00Z,00074225,600 mg,Tablet,Oral,,,2014-01-31T00:00:00Z,No,
BCG VACCINE (FREEZE-DRIED),BACILLUS CALMETTE-GUERIN (BCG) SUBSTRAIN CONNAUGHT,Sanofi Pasteur Limited,Innovator,Current,2015-08-01T00:00:00Z,2015-10-05T00:00:00Z,00075124,0.1 mg,Powder for Solution,Injectable,Yes,,,Yes,
LIBRAX,CLIDINIUM BROMIDE,Valeant Canada ,Generic,Resolved,2016-01-19T00:00:00Z,2016-04-19T00:00:00Z,00115630,2.5 mg,Capsule,Oral,,,2016-05-31T00:00:00Z,No,
LIBRAX,CLIDINIUM BROMIDE,Valeant Canada ,Generic,Current,2016-01-19T00:00:00Z,2016-02-10T00:00:00Z,00115630,2.5 mg,Capsule,Oral,,,2016-05-31T00:00:00Z,No,
Conray 60,Iothalamate Meglumine,LIEBEL-FLARSHEIM CANADA INC,Innovator,Resolved,2015-06-15T00:00:00Z,2015-06-26T00:00:00Z,00131237,600 mg/mL,Radio-imaging,Injectable,Yes,,2015-06-23T00:00:00Z,No,
Ergodryl,Ergodryl,Erfa Canada 2012 Inc.,Generic,Current,2013-06-11T00:00:00Z,2013-06-11T00:00:00Z,00156086,Not Listed,Capsule,Oral,,,,No,
Fiorinal Cap Half 1x100,Fiorinal Cap Half 1x100,Novartis Canada Inc.,Innovator,Resolved,2013-08-09T00:00:00Z,2013-11-11T00:00:00Z,00176206,32 mg,Capsule,Oral,No,,2013-11-13T00:00:00Z,No,
ALDACTAZIDE 25,SPIRONOLACTONE,Pfizer Canada Inc.,Innovator,Resolved,2016-01-04T00:00:00Z,2016-02-19T00:00:00Z,00180408,25 mg,Tablet,Oral,No,,2016-02-19T00:00:00Z,No,
Conray 30,Iothalamate Meglumine,LIEBEL-FLARSHEIM CANADA INC,Innovator,Current,2015-06-15T00:00:00Z,2015-09-30T00:00:00Z,00223107,300 mg/mL,Radio-imaging,Injectable,Yes,,2015-11-16T00:00:00Z,No,
LMD 10% IN 0.9% SODIUM CHLORIDE,DEXTRAN,Hospira Healthcare Corporation,Generic,Resolved,2014-02-13T00:00:00Z,2016-02-18T00:00:00Z,00224227,0.1,Solution,Injectable,Yes,0.0,2016-02-18T00:00:00Z,No,
LMD 10% IN DEXTROSE 5%,DEXTRAN,Hospira Healthcare Corporation,Generic,Resolved,2014-05-09T00:00:00Z,2015-03-18T00:00:00Z,00224235,100 mg,Solution,Injectable,Yes,0.0,2015-03-06T00:00:00Z,No,
LMD 10% IN DEXTROSE 5%,DEXTRAN,Hospira Healthcare Corporation,Generic,Resolved,2015-08-21T00:00:00Z,2015-11-10T00:00:00Z,00224235,100 mg,Solution,Injectable,Yes,0.0,2015-11-11T00:00:00Z,No,
VASOFRINIC,PSEUDOEPHEDRINE HYDROCHLORIDE,LABORATOIRES TRIANON INC,Generic,Current,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,00225843,60 mg,Tablet,Oral,No,,,No,
DALACIN C FLAVOURED GRANULES,CLINDAMYCIN (CLINDAMYCIN 2-PALMITATE HYDROCHLORIDE),Pfizer Canada Inc.,Innovator,Resolved,2015-08-14T00:00:00Z,2015-12-08T00:00:00Z,00225851,75 mg,Powder for Solution,Oral,No,,2015-12-08T00:00:00Z,No,
Fiorinal Cap Plain 1x100,Fiorinal Cap Plain 1x100,Novartis Canada Inc.,Innovator,Resolved,2013-05-10T00:00:00Z,2013-07-18T00:00:00Z,00226327,330 mg,Capsule,Oral,No,,2013-07-19T00:00:00Z,No,
HYCORT RETENTION ENEMA 100MG/60ML,HYDROCORTISONE,Valeant Canada ,Generic,Resolved,2014-04-22T00:00:00Z,2015-03-24T00:00:00Z,00230316,100 mg,Enema,Other,No,,,Yes,
IMPRIL,IMIPRAMINE HYDROCHLORIDE,Valeant Canada ,Generic,Resolved,2014-08-21T00:00:00Z,2015-03-24T00:00:00Z,00236721,50 mg,Tablet,Oral,No,,,Yes,
